measurement_key,float_key,measurement_time,lat,lon,pressure,temperature,salinity
246,1,2006-10-22 02:16:24.000628,-40.316,73.389,319.9,11.896,35.056
247,1,2006-10-22 02:16:24.000628,-40.316,73.389,330.4,11.887,35.056
248,1,2006-10-22 02:16:24.000628,-40.316,73.389,339.8,11.894,35.057
249,1,2006-10-22 02:16:24.000628,-40.316,73.389,350.0,11.812,35.038
250,1,2006-10-22 02:16:24.000628,-40.316,73.389,360.3,11.759,35.029
251,1,2006-10-22 02:16:24.000628,-40.316,73.389,379.9,11.699,35.02
252,1,2006-10-22 02:16:24.000628,-40.316,73.389,399.8,11.555,34.997
253,1,2006-10-22 02:16:24.000628,-40.316,73.389,450.3,11.18,34.933
254,1,2006-10-22 02:16:24.000628,-40.316,73.389,500.2,10.895,34.891
255,1,2006-10-22 02:16:24.000628,-40.316,73.389,549.7,10.296,34.81
256,1,2006-10-22 02:16:24.000628,-40.316,73.389,600.0,9.699,34.739
257,1,2006-10-22 02:16:24.000628,-40.316,73.389,650.0,9.193,34.679
258,1,2006-10-22 02:16:24.000628,-40.316,73.389,700.4,8.67,34.626
259,1,2006-10-22 02:16:24.000628,-40.316,73.389,750.4,8.065,34.573
260,1,2006-10-22 02:16:24.000628,-40.316,73.389,800.3,7.596,34.534
261,1,2006-10-22 02:16:24.000628,-40.316,73.389,850.4,6.969,34.48
262,1,2006-10-22 02:16:24.000628,-40.316,73.389,899.8,5.991,34.386
263,1,2006-10-22 02:16:24.000628,-40.316,73.389,947.9,5.392,34.348
264,1,2006-10-22 02:16:24.000628,-40.316,73.389,1000.1,5.103,34.352
265,1,2006-10-22 02:16:24.000628,-40.316,73.389,1050.3,4.643,34.337
266,1,2006-10-22 02:16:24.000628,-40.316,73.389,1100.0,4.338,34.341
267,1,2006-10-22 02:16:24.000628,-40.316,73.389,1150.0,4.118,34.34
268,1,2006-10-22 02:16:24.000628,-40.316,73.389,1199.9,3.926,34.357
269,1,2006-10-22 02:16:24.000628,-40.316,73.389,1250.1,3.763,34.375
270,1,2006-10-22 02:16:24.000628,-40.316,73.389,1298.1,3.562,34.399
271,1,2006-10-22 02:16:24.000628,-40.316,73.389,1350.2,3.432,34.423
272,1,2006-10-22 02:16:24.000628,-40.316,73.389,1400.2,3.325,34.443
273,1,2006-10-22 02:16:24.000628,-40.316,73.389,1449.8,3.221,34.466
274,1,2006-10-22 02:16:24.000628,-40.316,73.389,1499.8,3.13,34.492
275,1,2006-10-22 02:16:24.000628,-40.316,73.389,1550.5,3.019,34.52
276,1,2006-10-22 02:16:24.000628,-40.316,73.389,1599.7,2.931,34.544
277,1,2006-10-22 02:16:24.000628,-40.316,73.389,1649.9,2.875,34.562
278,1,2006-10-22 02:16:24.000628,-40.316,73.389,1699.6,2.817,34.582
279,1,2006-10-22 02:16:24.000628,-40.316,73.389,1749.5,2.767,34.6
280,1,2006-10-22 02:16:24.000628,-40.316,73.389,1799.6,2.73,34.615
281,1,2006-10-22 02:16:24.000628,-40.316,73.389,1850.3,2.691,34.633
282,1,2006-10-22 02:16:24.000628,-40.316,73.389,1899.8,2.658,34.647
283,1,2006-10-22 02:16:24.000628,-40.316,73.389,1950.2,2.612,34.666
284,1,2006-10-22 02:16:24.000628,-40.316,73.389,2000.0,2.568,34.681
285,1,2006-11-01 06:44:22.998673,-40.39,73.528,6.5,12.962,35.154
286,1,2006-11-01 06:44:22.998673,-40.39,73.528,10.3,12.961,35.154
287,1,2006-11-01 06:44:22.998673,-40.39,73.528,20.1,12.822,35.166
288,1,2006-11-01 06:44:22.998673,-40.39,73.528,30.5,12.782,35.165
289,1,2006-11-01 06:44:22.998673,-40.39,73.528,39.7,12.741,35.166
290,1,2006-11-01 06:44:22.998673,-40.39,73.528,50.4,12.727,35.167
291,1,2006-11-01 06:44:22.998673,-40.39,73.528,60.4,12.716,35.17
292,1,2006-11-01 06:44:22.998673,-40.39,73.528,70.5,12.708,35.171
293,1,2006-11-01 06:44:22.998673,-40.39,73.528,80.4,12.674,35.17
294,1,2006-11-01 06:44:22.998673,-40.39,73.528,90.1,12.629,35.174
295,1,2006-11-01 06:44:22.998673,-40.39,73.528,100.0,12.605,35.182
296,1,2006-11-01 06:44:22.998673,-40.39,73.528,110.0,12.576,35.184
297,1,2006-11-01 06:44:22.998673,-40.39,73.528,120.4,12.551,35.185
298,1,2006-11-01 06:44:22.998673,-40.39,73.528,130.2,12.535,35.184
299,1,2006-11-01 06:44:22.998673,-40.39,73.528,140.4,12.525,35.182
300,1,2006-11-01 06:44:22.998673,-40.39,73.528,150.5,12.469,35.175
301,1,2006-11-01 06:44:22.998673,-40.39,73.528,159.8,12.468,35.178
302,1,2006-11-01 06:44:22.998673,-40.39,73.528,169.7,12.461,35.178
303,1,2006-11-01 06:44:22.998673,-40.39,73.528,180.3,12.443,35.175
304,1,2006-11-01 06:44:22.998673,-40.39,73.528,190.1,12.403,35.167
305,1,2006-11-01 06:44:22.998673,-40.39,73.528,200.2,12.349,35.155
306,1,2006-11-01 06:44:22.998673,-40.39,73.528,210.2,12.341,35.155
307,1,2006-11-01 06:44:22.998673,-40.39,73.528,220.3,12.294,35.144
308,1,2006-11-01 06:44:22.998673,-40.39,73.528,229.2,12.202,35.124
309,1,2006-11-01 06:44:22.998673,-40.39,73.528,240.4,12.15,35.113
310,1,2006-11-01 06:44:22.998673,-40.39,73.528,250.4,12.102,35.104
311,1,2006-11-01 06:44:22.998673,-40.39,73.528,259.5,12.081,35.1
312,1,2006-11-01 06:44:22.998673,-40.39,73.528,269.8,12.061,35.098
313,1,2006-11-01 06:44:22.998673,-40.39,73.528,279.9,11.992,35.083
314,1,2006-11-01 06:44:22.998673,-40.39,73.528,290.1,11.99,35.082
315,1,2006-11-01 06:44:22.998673,-40.39,73.528,299.6,11.912,35.066
316,1,2006-11-01 06:44:22.998673,-40.39,73.528,309.6,11.805,35.043
317,1,2006-11-01 06:44:22.998673,-40.39,73.528,319.7,11.767,35.033
318,1,2006-11-01 06:44:22.998673,-40.39,73.528,329.9,11.664,35.01
319,1,2006-11-01 06:44:22.998673,-40.39,73.528,339.5,11.583,34.996
320,1,2006-11-01 06:44:22.998673,-40.39,73.528,349.8,11.439,34.964
321,1,2006-11-01 06:44:22.998673,-40.39,73.528,360.2,11.36,34.945
322,1,2006-11-01 06:44:22.998673,-40.39,73.528,380.6,10.932,34.855
323,1,2006-11-01 06:44:22.998673,-40.39,73.528,400.0,11.008,34.878
324,1,2006-11-01 06:44:22.998673,-40.39,73.528,450.0,10.377,34.775
325,1,2006-11-01 06:44:22.998673,-40.39,73.528,500.3,10.235,34.792
326,1,2006-11-01 06:44:22.998673,-40.39,73.528,550.1,9.794,34.747
327,1,2006-11-01 06:44:22.998673,-40.39,73.528,600.4,9.276,34.695
328,1,2006-11-01 06:44:22.998673,-40.39,73.528,650.3,8.813,34.649
329,1,2006-11-01 06:44:22.998673,-40.39,73.528,700.1,8.139,34.587
330,1,2006-11-01 06:44:22.998673,-40.39,73.528,749.6,7.474,34.523
331,1,2006-11-01 06:44:22.998673,-40.39,73.528,800.3,6.83,34.466
332,1,2006-11-01 06:44:22.998673,-40.39,73.528,850.3,6.241,34.409
333,1,2006-11-01 06:44:22.998673,-40.39,73.528,900.1,5.517,34.352
334,1,2006-11-01 06:44:22.998673,-40.39,73.528,950.3,5.224,34.364
335,1,2006-11-01 06:44:22.998673,-40.39,73.528,1000.4,4.8,34.345
336,1,2006-11-01 06:44:22.998673,-40.39,73.528,1050.0,4.459,34.341
